# format_version: 1;
# system_name: Nexus;
# date_time: 2021-06-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: LIDAR_2020;
# project_version: 0;
Unix time;BlackTC_110m_HWS_hub;BluePO_110m_HWS_hub;GreenPO_110m_HWS_hub;BlackTC_110m_HWS_hub_availability;BluePO_110m_HWS_hub_availability;GreenPO_110m_HWS_hub_availability;
-;600 s;600 s;600 s;600 s;600 s;600 s;
-;;;;;;;
1623644400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623645000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623645600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623646200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623646800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623647400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623648000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623648600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623649200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623649800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623650400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623651000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623651600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623652200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623652800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623653400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623654000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623654600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623655200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623655800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623656400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623657000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623657600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623658200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623658800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623659400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623660000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623660600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623661200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623661800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623662400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623663000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
