# format_version: 1;
# system_name: Nexus;
# date_time: 2021-01-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: ISPIN;
# project_version: 0;
# license: Data from this project may only be used and distributed within Fraunhofer IWES.;
Unix time;SaDataValid;WS_free_avg;DataOK;
-;600 s;600 s;600 s;
-;-;m/s;-;
1610525400.00000;1;11.97;1;
1610526000.00000;1;13.33;0;
1610526600.00000;1;13.01;0;
1610527200.00000;1;12.71;0;
1610527800.00000;1;11.98;0;
1610528400.00000;1;11.81;0;
1610529000.00000;1;13.49;0;
1610529600.00000;1;13.72;0;
1610530200.00000;1;13.02;0;
1610530800.00000;1;13.46;0;
1610531400.00000;1;13.17;0;
1610532000.00000;1;13.34;0;
1610532600.00000;1;13.87;0;
1610533200.00000;1;13.39;0;
1610533800.00000;1;13.41;0;
1610534400.00000;1;13.49;0;
1610535000.00000;1;12.99;0;
1610535600.00000;1;12.12;0;
1610536200.00000;1;13.03;0;
1610536800.00000;1;13.06;0;
1610537400.00000;1;13.83;0;
1610538000.00000;1;13.21;0;
1610538600.00000;1;13.33;0;
1610539200.00000;1;14.18;0;
1610539800.00000;1;14.76;0;
1610540400.00000;1;14.37;0;
1610541000.00000;1;17.35;0;
1610541600.00000;1;17.31;0;
1610542200.00000;1;15.33;0;
1610542800.00000;1;15.62;1;
1610543400.00000;1;16.13;1;
1610544000.00000;1;15.85;1;
1610544600.00000;1;17.73;0;
1610545200.00000;0;18.32;0;
1610545800.00000;1;15.89;0;
1610546400.00000;0;16.54;0;
1610547000.00000;1;17.48;0;
1610547600.00000;0;17.5;0;
1610548200.00000;1;13.83;1;
1610548800.00000;1;13.93;0;
1610549400.00000;1;13.07;0;
1610550000.00000;1;14.06;0;
1610550600.00000;1;13.23;0;
1610551200.00000;1;12.82;0;
1610551800.00000;1;12.99;0;
1610552400.00000;1;13.38;0;
1610553000.00000;1;13.44;0;
1610553600.00000;1;15.23;0;
