# format_version: 1;
# system_name: Nexus;
# date_time: 2021-01-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: WIND_CUBE;
# project_version: 0;
# license: Data from this project may only be used and distributed within Fraunhofer IWES.;
Unix time;WC_115m_Wind_Speed;
-;600 s;
-;m/s;
1610678400.00000;4.89;
1610679000.00000;5.26;
1610679600.00000;4.99;
1610680200.00000;5.05;
1610680800.00000;4.99;
1610681400.00000;4.38;
1610682000.00000;4.25;
1610682600.00000;4.94;
1610683200.00000;4.47;
1610683800.00000;4.43;
1610684400.00000;4.05;
1610685000.00000;4.54;
1610685600.00000;4.54;
1610686200.00000;4.73;
1610686800.00000;4.86;
1610687400.00000;4.66;
1610688000.00000;3.93;
1610688600.00000;3.44;
1610689200.00000;3.23;
1610689800.00000;3.48;
1610690400.00000;3.25;
1610691000.00000;3.9;
1610691600.00000;3.95;
1610692200.00000;4.34;
1610692800.00000;5.57;
1610693400.00000;5.94;
1610694000.00000;5.74;
1610694600.00000;5.17;
1610695200.00000;5.12;
1610695800.00000;5.26;
1610696400.00000;4.91;
1610697000.00000;4.88;
1610697600.00000;5.29;
1610698200.00000;6.95;
1610698800.00000;7.94;
1610699400.00000;7.61;
1610700000.00000;6.64;
1610700600.00000;6.92;
1610701200.00000;7.24;
1610701800.00000;6.54;
1610702400.00000;4.98;
1610703000.00000;5.54;
1610703600.00000;5.56;
1610704200.00000;4.82;
1610704800.00000;5.37;
1610705400.00000;5.75;
1610706000.00000;5.39;
1610706600.00000;5.55;
1610707200.00000;6.15;
1610707800.00000;5.23;
1610708400.00000;4.98;
1610709000.00000;4.56;
1610709600.00000;4.45;
1610710200.00000;4.69;
1610710800.00000;4.49;
1610711400.00000;4.68;
1610712000.00000;4.75;
1610712600.00000;4.35;
1610713200.00000;4.9;
1610713800.00000;4.53;
1610714400.00000;4.48;
1610715000.00000;3.99;
1610715600.00000;3.96;
1610716200.00000;3.46;
1610716800.00000;3.55;
1610717400.00000;3.94;
1610718000.00000;3.87;
1610718600.00000;5.1;
1610719200.00000;5.2;
1610719800.00000;5.6;
1610720400.00000;5.61;
1610721000.00000;5.44;
1610721600.00000;5.56;
1610722200.00000;4.39;
1610722800.00000;4.51;
1610723400.00000;4.19;
1610724000.00000;3.73;
1610724600.00000;3.64;
1610725200.00000;4.75;
1610725800.00000;4.01;
1610726400.00000;3.09;
1610727000.00000;4.02;
1610727600.00000;4.51;
1610728200.00000;4.41;
1610728800.00000;3.85;
1610729400.00000;3.59;
1610730000.00000;3.55;
1610730600.00000;3.17;
1610731200.00000;2.9;
1610731800.00000;3.73;
1610732400.00000;3.49;
1610733000.00000;2.92;
1610733600.00000;2.48;
1610734200.00000;2.9;
1610734800.00000;2.58;
1610735400.00000;2.24;
1610736000.00000;2.13;
1610736600.00000;2.26;
1610737200.00000;2.54;
1610737800.00000;2.5;
1610738400.00000;2.19;
1610739000.00000;1.92;
1610739600.00000;2.31;
1610740200.00000;1.96;
1610740800.00000;2.33;
1610741400.00000;1.88;
1610742000.00000;2.43;
1610742600.00000;2.24;
1610743200.00000;2.08;
1610743800.00000;1.75;
1610744400.00000;1.91;
1610745000.00000;1.26;
1610745600.00000;2.1;
1610746200.00000;1.65;
1610746800.00000;2.13;
1610747400.00000;2.21;
1610748000.00000;2.86;
1610748600.00000;2.76;
1610749200.00000;2.65;
1610749800.00000;2.69;
1610750400.00000;2.18;
1610751000.00000;1.42;
1610751600.00000;1.54;
1610752200.00000;1.66;
1610752800.00000;1.87;
1610753400.00000;1.92;
1610754000.00000;3.25;
1610754600.00000;3.28;
